sim_time,veh_id,x,y,speed,angle,lane_id,edge_id,type_id
0.500,0,212.300,98.400,0.000,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
1.000,0,212.927,98.400,1.254,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
1.500,0,213.923,98.400,1.992,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
1.500,1,87.700,101.600,0.000,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
2.000,0,215.526,98.400,3.207,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
2.000,1,87.196,101.600,1.008,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
2.500,0,217.661,98.400,4.269,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
2.500,1,86.042,101.600,2.308,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
2.500,2,187.700,301.600,0.000,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
3.000,0,220.244,98.400,5.165,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
3.000,1,84.344,101.600,3.395,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
3.000,2,187.155,301.600,1.091,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
3.500,0,223.465,98.400,6.443,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
3.500,1,82.040,101.600,4.608,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
3.500,2,185.987,301.600,2.334,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
3.500,3,301.600,112.300,0.000,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
4.000,0,227.164,98.400,7.398,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
4.000,1,79.227,101.600,5.626,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
4.000,2,184.331,301.600,3.312,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
4.000,3,301.600,112.818,1.036,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
4.500,0,231.261,98.400,8.193,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
4.500,1,75.809,101.600,6.836,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
4.500,2,182.067,301.600,4.529,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
4.500,3,301.600,113.717,1.798,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
4.500,4,112.300,198.400,0.000,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
5.000,0,235.969,98.400,9.416,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
5.000,1,72.023,101.600,7.573,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
5.000,2,179.448,301.600,5.239,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
5.000,3,301.600,115.126,2.819,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
5.000,4,112.793,198.400,0.985,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
5.500,0,241.244,98.400,10.552,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
5.500,1,67.897,101.600,8.251,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
5.500,2,176.475,301.600,5.946,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
5.500,3,301.600,116.927,3.601,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
5.500,4,113.816,198.400,2.048,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
5.500,5,87.700,1.600,0.000,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
6.000,0,247.110,98.400,11.732,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
6.000,1,63.277,101.600,9.241,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
6.000,2,173.127,301.600,6.696,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
6.000,3,301.600,119.159,4.464,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
6.000,4,115.239,198.400,2.846,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
6.000,5,87.156,1.600,1.088,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
6.500,0,253.473,98.400,12.725,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
6.500,1,58.319,101.600,9.916,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
6.500,2,169.162,301.600,7.929,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
6.500,3,301.600,121.826,5.334,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
6.500,4,117.127,198.400,3.776,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
6.500,5,86.122,1.600,2.069,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
6.500,6,8.300,-1.600,0.000,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
7.000,0,260.198,98.400,13.451,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
7.000,1,52.753,101.600,11.131,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
7.000,2,164.738,301.600,8.847,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
7.000,3,301.600,125.068,6.484,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
7.000,4,119.648,198.400,5.042,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
7.000,5,84.565,1.600,3.114,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
7.000,6,8.901,-1.600,1.201,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
7.500,0,267.527,98.400,14.658,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
7.500,1,46.698,101.600,12.111,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
7.500,2,159.666,301.600,10.146,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
7.500,3,301.600,128.873,7.611,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
7.500,4,122.608,198.400,5.921,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
7.500,5,82.612,1.600,3.906,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
7.500,6,10.080,-1.600,2.358,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
7.500,7,187.700,201.600,0.000,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
8.000,0,274.485,98.400,13.916,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
8.000,1,40.344,101.600,12.708,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
8.000,2,154.045,301.600,11.241,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
8.000,3,301.600,133.213,8.678,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
8.000,4,126.012,198.400,6.807,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
8.000,5,80.261,1.600,4.702,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
8.000,6,11.858,-1.600,3.556,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
8.000,7,187.060,201.600,1.281,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
8.500,0,280.318,98.400,11.666,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
8.500,1,34.036,101.600,12.616,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
8.500,2,148.025,301.600,12.040,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
8.500,3,301.600,138.033,9.642,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
8.500,4,129.884,198.400,7.744,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
8.500,5,77.388,1.600,5.746,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
8.500,6,14.058,-1.600,4.399,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
8.500,7,186.010,201.600,2.098,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
8.500,8,87.700,1.600,0.000,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
9.000,0,285.026,98.400,9.416,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
9.000,1,27.750,101.600,12.572,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
9.000,2,141.600,301.600,12.849,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
9.000,3,301.600,143.432,10.796,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
9.000,4,134.369,198.400,8.970,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
9.000,5,74.080,1.600,6.616,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
9.000,6,16.686,-1.600,5.257,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
9.000,7,184.574,201.600,2.873,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
9.000,8,87.114,1.600,1.172,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
9.500,0,288.608,98.400,7.166,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
9.500,1,21.538,101.600,12.422,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
9.500,2,134.806,301.600,13.588,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
9.500,3,301.600,149.441,12.019,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
9.500,4,139.343,198.400,9.948,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
9.500,5,70.231,1.600,7.698,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
9.500,6,19.750,-1.600,6.127,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
9.500,7,182.505,201.600,4.137,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
9.500,8,86.029,1.600,2.171,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
9.500,9,291.700,1.600,0.000,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
10.000,0,291.066,98.400,4.916,90.000,C1D1_0,C1D1,DEFAULT_VEHTYPE
10.000,1,16.452,101.600,10.172,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
10.000,2,127.875,301.600,13.862,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
10.000,3,301.600,156.067,13.253,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
10.000,4,144.839,198.400,10.992,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
10.000,5,65.901,1.600,8.660,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
10.000,6,23.312,-1.600,7.124,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
10.000,7,180.034,201.600,4.943,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
10.000,8,84.448,1.600,3.162,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
10.000,9,291.171,1.600,1.057,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
10.500,0,292.883,98.456,3.668,89.362,:D1_8_0,:D1_8,DEFAULT_VEHTYPE
10.500,1,12.491,101.600,7.922,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
10.500,2,121.288,301.600,13.174,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
10.500,3,301.600,163.254,14.374,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
10.500,4,150.828,198.400,11.979,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
10.500,5,61.220,1.600,9.363,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
10.500,6,27.336,-1.600,8.048,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
10.500,7,177.093,201.600,5.882,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
10.500,8,82.535,1.600,3.826,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
10.500,9,290.210,1.600,1.922,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
11.000,0,294.196,99.593,3.560,75.208,:D1_8_0,:D1_8,DEFAULT_VEHTYPE
11.000,1,9.655,101.600,5.672,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
11.000,2,115.644,301.600,11.288,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
11.000,3,301.600,170.572,14.636,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
11.000,4,157.170,198.400,12.684,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
11.000,5,56.070,1.600,10.299,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
11.000,6,31.716,-1.600,8.759,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
11.000,7,173.685,201.600,6.816,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
11.000,8,80.290,1.600,4.490,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
11.000,9,288.817,1.600,2.786,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
11.500,0,293.594,101.070,3.672,37.891,:D1_8_0,:D1_8,DEFAULT_VEHTYPE
11.500,1,7.944,101.600,3.422,270.000,B1A1_0,B1A1,DEFAULT_VEHTYPE
11.500,11,112.300,98.400,0.000,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
11.500,2,111.043,301.600,9.203,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
11.500,3,301.600,177.592,14.040,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
11.500,4,163.847,198.400,13.353,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
11.500,5,50.474,1.600,11.192,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
11.500,6,36.432,-1.600,9.433,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
11.500,7,169.642,201.600,8.087,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
11.500,8,77.513,1.600,5.554,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
11.500,9,286.982,1.600,3.671,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
12.000,0,292.136,101.600,3.235,342.663,D1C1_0,D1C1,DEFAULT_VEHTYPE
12.000,1,6.455,101.103,3.278,264.152,:A1_5_0,:A1_5,DEFAULT_VEHTYPE
12.000,11,112.890,98.400,1.180,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
12.000,2,107.459,301.600,7.168,270.000,C3B3_0,C3B3,DEFAULT_VEHTYPE
12.000,3,301.600,183.487,11.790,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
12.000,4,170.931,198.400,14.168,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
12.000,5,44.932,1.600,11.084,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
12.000,6,41.727,-1.600,10.590,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
12.000,7,165.008,201.600,9.267,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
12.000,8,74.116,1.600,6.794,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
12.000,9,284.651,1.600,4.660,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
12.500,0,290.140,101.600,3.992,290.655,D1C1_0,D1C1,DEFAULT_VEHTYPE
12.500,1,5.712,99.777,3.379,244.970,:A1_5_0,:A1_5,DEFAULT_VEHTYPE
12.500,10,291.700,1.600,0.000,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
12.500,11,114.090,98.400,2.400,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
12.500,2,103.461,301.066,8.083,263.849,:B3_1_0,:B3_1,DEFAULT_VEHTYPE
12.500,3,301.600,188.257,9.540,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
12.500,4,177.273,198.400,12.684,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
12.500,5,39.297,1.600,11.271,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
12.500,6,47.496,-1.600,11.538,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
12.500,7,159.937,201.600,10.142,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
12.500,8,70.279,1.600,7.674,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
12.500,9,281.823,1.600,5.657,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
13.000,0,287.599,101.600,5.083,270.000,D1C1_0,D1C1,DEFAULT_VEHTYPE
13.000,1,6.796,98.669,3.201,202.597,:A1_5_0,:A1_5,DEFAULT_VEHTYPE
13.000,10,291.209,1.600,0.981,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
13.000,11,115.746,98.400,3.313,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
13.000,12,301.600,212.300,0.000,0.000,D2D3_0,D2D3,DEFAULT_VEHTYPE
13.000,2,100.386,299.043,7.472,243.027,:B3_9_0,:B3_9,DEFAULT_VEHTYPE
13.000,3,301.600,191.911,7.309,0.000,D1D2_0,D1D2,DEFAULT_VEHTYPE
13.000,4,182.489,198.400,10.434,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
13.000,5,33.838,1.600,10.918,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
13.000,6,53.814,-1.600,12.636,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
13.000,7,154.323,201.600,11.229,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
13.000,8,65.811,1.600,8.935,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
13.000,9,278.558,1.600,6.530,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
13.500,0,284.445,101.600,6.308,270.000,D1C1_0,D1C1,DEFAULT_VEHTYPE
13.500,1,8.121,98.400,2.813,153.797,A1B1_0,A1B1,DEFAULT_VEHTYPE
13.500,10,290.106,1.600,2.206,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
13.500,11,117.930,98.400,4.368,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
13.500,12,301.600,212.841,1.082,0.000,D2D3_0,D2D3,DEFAULT_VEHTYPE
13.500,2,98.817,295.721,7.461,211.408,:B3_9_0,:B3_9,DEFAULT_VEHTYPE
13.500,3,301.368,194.422,5.059,357.337,:D2_4_0,:D2_4,DEFAULT_VEHTYPE
13.500,4,186.581,198.400,8.184,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
13.500,5,28.301,1.600,11.073,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
13.500,6,60.694,-1.600,13.759,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
13.500,7,148.382,201.600,11.881,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
13.500,8,60.695,1.600,10.233,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
13.500,9,274.707,1.600,7.702,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
14.000,0,280.799,101.600,7.293,270.000,D1C1_0,D1C1,DEFAULT_VEHTYPE
14.000,1,9.857,98.400,3.473,110.692,A1B1_0,A1B1,DEFAULT_VEHTYPE
14.000,10,288.501,1.600,3.211,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
14.000,11,120.732,98.400,5.603,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
14.000,12,301.600,213.781,1.880,0.000,D2D3_0,D2D3,DEFAULT_VEHTYPE
14.000,2,98.400,291.983,7.536,188.109,B3B2_0,B3B2,DEFAULT_VEHTYPE
14.000,3,300.731,197.182,5.751,349.870,:D2_10_0,:D2_10,DEFAULT_VEHTYPE
14.000,4,189.638,198.400,6.114,90.000,B2C2_0,B2C2,DEFAULT_VEHTYPE
14.000,5,22.672,1.600,11.259,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
14.000,6,67.954,-1.600,14.520,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
14.000,7,142.414,201.600,11.937,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
14.000,8,54.944,1.600,11.501,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
14.000,9,270.519,1.600,8.376,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
14.500,0,276.719,101.600,8.158,270.000,D1C1_0,D1C1,DEFAULT_VEHTYPE
14.500,1,12.219,98.400,4.723,90.000,A1B1_0,A1B1,DEFAULT_VEHTYPE
14.500,10,286.446,1.600,4.110,270.000,D0C0_0,D0C0,DEFAULT_VEHTYPE
14.500,11,124.161,98.400,6.857,90.000,B1C1_0,B1C1,DEFAULT_VEHTYPE
14.500,12,301.600,215.369,3.175,0.000,D2D3_0,D2D3,DEFAULT_VEHTYPE
14.500,14,287.700,101.600,0.000,270.000,D1C1_0,D1C1,DEFAULT_VEHTYPE
14.500,2,98.400,287.711,8.544,180.000,B3B2_0,B3B2,DEFAULT_VEHTYPE
14.500,3,298.693,199.824,6.822,328.880,:D2_10_0,:D2_10,DEFAULT_VEHTYPE
14.500,4,192.899,198.386,6.524,90.162,:C2_12_0,:C2_12,DEFAULT_VEHTYPE
14.500,5,17.001,1.600,11.341,270.000,B0A0_0,B0A0,DEFAULT_VEHTYPE
14.500,6,75.096,-1.600,14.285,90.000,A0B0_0,A0B0,DEFAULT_VEHTYPE
14.500,7,136.515,201.600,11.797,270.000,C2B2_0,C2B2,DEFAULT_VEHTYPE
