time,veh_id,x,y,speed,angle
0,veh_0,5.1,-1.6,0.0,90.0
1,veh_0,6.1,-1.6,1.0,90.0
2,veh_0,8.1,-1.6,2.0,90.0
3,veh_0,11.1,-1.6,3.0,90.0
4,veh_0,15.1,-1.6,4.0,90.0
4,veh_1,5.1,-1.6,0.0,90.0
5,veh_0,20.1,-1.6,5.0,90.0
5,veh_1,6.1,-1.6,1.0,90.0
6,veh_0,26.1,-1.6,6.0,90.0
6,veh_1,8.1,-1.6,2.0,90.0
7,veh_0,33.1,-1.6,7.0,90.0
7,veh_1,11.1,-1.6,3.0,90.0
8,veh_0,41.1,-1.6,8.0,90.0
8,veh_1,15.1,-1.6,4.0,90.0
8,veh_2,5.1,-1.6,0.0,90.0
9,veh_0,50.1,-1.6,9.0,90.0
9,veh_1,20.1,-1.6,5.0,90.0
9,veh_2,6.1,-1.6,1.0,90.0
10,veh_0,60.1,-1.6,10.0,90.0
10,veh_1,26.1,-1.6,6.0,90.0
10,veh_2,8.1,-1.6,2.0,90.0
11,veh_0,71.1,-1.6,11.0,90.0
11,veh_1,33.1,-1.6,7.0,90.0
11,veh_2,11.1,-1.6,3.0,90.0
12,veh_0,83.1,-1.6,12.0,90.0
12,veh_1,41.1,-1.6,8.0,90.0
12,veh_2,15.1,-1.6,4.0,90.0
12,veh_3,5.1,-1.6,0.0,90.0
13,veh_0,96.1,-1.6,13.0,90.0
13,veh_1,50.1,-1.6,9.0,90.0
13,veh_2,20.1,-1.6,5.0,90.0
13,veh_3,6.1,-1.6,1.0,90.0
14,veh_0,109.1,-1.6,13.0,90.0
14,veh_1,60.1,-1.6,10.0,90.0
14,veh_2,26.1,-1.6,6.0,90.0
14,veh_3,8.1,-1.6,2.0,90.0
15,veh_0,122.1,-1.6,13.0,90.0
15,veh_1,71.1,-1.6,11.0,90.0
15,veh_2,33.1,-1.6,7.0,90.0
15,veh_3,11.1,-1.6,3.0,90.0
16,veh_0,135.1,-1.6,13.0,90.0
16,veh_1,83.1,-1.6,12.0,90.0
16,veh_2,41.1,-1.6,8.0,90.0
16,veh_3,15.1,-1.6,4.0,90.0
16,veh_4,5.1,-1.6,0.0,90.0
17,veh_0,148.1,-1.6,13.0,90.0
17,veh_1,96.1,-1.6,13.0,90.0
17,veh_2,50.1,-1.6,9.0,90.0
17,veh_3,20.1,-1.6,5.0,90.0
17,veh_4,6.1,-1.6,1.0,90.0
18,veh_0,161.1,-1.6,13.0,90.0
18,veh_1,109.1,-1.6,13.0,90.0
18,veh_2,60.1,-1.6,10.0,90.0
18,veh_3,26.1,-1.6,6.0,90.0
18,veh_4,8.1,-1.6,2.0,90.0
19,veh_0,174.1,-1.6,13.0,90.0
19,veh_1,122.1,-1.6,13.0,90.0
19,veh_2,71.1,-1.6,11.0,90.0
19,veh_3,33.1,-1.6,7.0,90.0
19,veh_4,11.1,-1.6,3.0,90.0
20,veh_0,187.1,-1.6,13.0,90.0
20,veh_1,135.1,-1.6,13.0,90.0
20,veh_2,83.1,-1.6,12.0,90.0
20,veh_3,41.1,-1.6,8.0,90.0
20,veh_4,15.1,-1.6,4.0,90.0
20,veh_5,5.1,-1.6,0.0,90.0
21,veh_0,200.1,-1.6,13.0,90.0
21,veh_1,148.1,-1.6,13.0,90.0
21,veh_2,96.1,-1.6,13.0,90.0
21,veh_3,50.1,-1.6,9.0,90.0
21,veh_4,20.1,-1.6,5.0,90.0
21,veh_5,6.1,-1.6,1.0,90.0
22,veh_0,213.1,-1.6,13.0,90.0
22,veh_1,161.1,-1.6,13.0,90.0
22,veh_2,109.1,-1.6,13.0,90.0
22,veh_3,60.1,-1.6,10.0,90.0
22,veh_4,26.1,-1.6,6.0,90.0
22,veh_5,8.1,-1.6,2.0,90.0
23,veh_0,226.1,-1.6,13.0,90.0
23,veh_1,174.1,-1.6,13.0,90.0
23,veh_2,122.1,-1.6,13.0,90.0
23,veh_3,71.1,-1.6,11.0,90.0
23,veh_4,33.1,-1.6,7.0,90.0
23,veh_5,11.1,-1.6,3.0,90.0
24,veh_0,239.1,-1.6,13.0,90.0
24,veh_1,187.1,-1.6,13.0,90.0
24,veh_2,135.1,-1.6,13.0,90.0
24,veh_3,83.1,-1.6,12.0,90.0
24,veh_4,41.1,-1.6,8.0,90.0
24,veh_5,15.1,-1.6,4.0,90.0
24,veh_6,5.1,-1.6,0.0,90.0
25,veh_0,252.1,-1.6,13.0,90.0
25,veh_1,200.1,-1.6,13.0,90.0
25,veh_2,148.1,-1.6,13.0,90.0
25,veh_3,96.1,-1.6,13.0,90.0
25,veh_4,50.1,-1.6,9.0,90.0
25,veh_5,20.1,-1.6,5.0,90.0
25,veh_6,6.1,-1.6,1.0,90.0
26,veh_0,265.1,-1.6,13.0,90.0
26,veh_1,213.1,-1.6,13.0,90.0
26,veh_2,161.1,-1.6,13.0,90.0
26,veh_3,109.1,-1.6,13.0,90.0
26,veh_4,60.1,-1.6,10.0,90.0
26,veh_5,26.1,-1.6,6.0,90.0
26,veh_6,8.1,-1.6,2.0,90.0
27,veh_0,278.1,-1.6,13.0,90.0
27,veh_1,226.1,-1.6,13.0,90.0
27,veh_2,174.1,-1.6,13.0,90.0
27,veh_3,122.1,-1.6,13.0,90.0
27,veh_4,71.1,-1.6,11.0,90.0
27,veh_5,33.1,-1.6,7.0,90.0
27,veh_6,11.1,-1.6,3.0,90.0
28,veh_0,291.1,-1.6,13.0,90.0
28,veh_1,239.1,-1.6,13.0,90.0
28,veh_2,187.1,-1.6,13.0,90.0
28,veh_3,135.1,-1.6,13.0,90.0
28,veh_4,83.1,-1.6,12.0,90.0
28,veh_5,41.1,-1.6,8.0,90.0
28,veh_6,15.1,-1.6,4.0,90.0
28,veh_7,5.1,-1.6,0.0,90.0
29,veh_0,304.1,-1.6,13.0,90.0
29,veh_1,252.1,-1.6,13.0,90.0
29,veh_2,200.1,-1.6,13.0,90.0
29,veh_3,148.1,-1.6,13.0,90.0
29,veh_4,96.1,-1.6,13.0,90.0
29,veh_5,50.1,-1.6,9.0,90.0
29,veh_6,20.1,-1.6,5.0,90.0
29,veh_7,6.1,-1.6,1.0,90.0
30,veh_0,317.1,-1.6,13.0,90.0
30,veh_1,265.1,-1.6,13.0,90.0
30,veh_2,213.1,-1.6,13.0,90.0
30,veh_3,161.1,-1.6,13.0,90.0
30,veh_4,109.1,-1.6,13.0,90.0
30,veh_5,60.1,-1.6,10.0,90.0
30,veh_6,26.1,-1.6,6.0,90.0
30,veh_7,8.1,-1.6,2.0,90.0
31,veh_0,330.1,-1.6,13.0,90.0
31,veh_1,278.1,-1.6,13.0,90.0
31,veh_2,226.1,-1.6,13.0,90.0
31,veh_3,174.1,-1.6,13.0,90.0
31,veh_4,122.1,-1.6,13.0,90.0
31,veh_5,71.1,-1.6,11.0,90.0
31,veh_6,33.1,-1.6,7.0,90.0
31,veh_7,11.1,-1.6,3.0,90.0
32,veh_0,343.1,-1.6,13.0,90.0
32,veh_1,291.1,-1.6,13.0,90.0
32,veh_2,239.1,-1.6,13.0,90.0
32,veh_3,187.1,-1.6,13.0,90.0
32,veh_4,135.1,-1.6,13.0,90.0
32,veh_5,82.6509,-1.6,11.5509,90.0
32,veh_6,41.1,-1.6,8.0,90.0
32,veh_7,15.1,-1.6,4.0,90.0
32,veh_8,5.1,-1.6,0.0,90.0
33,veh_0,356.1,-1.6,13.0,90.0
33,veh_1,304.1,-1.6,13.0,90.0
33,veh_2,252.1,-1.6,13.0,90.0
33,veh_3,200.1,-1.6,13.0,90.0
33,veh_4,148.1,-1.6,13.0,90.0
33,veh_5,94.20179999999999,-1.6,11.5509,90.0
33,veh_6,50.1,-1.6,9.0,90.0
33,veh_7,20.1,-1.6,5.0,90.0
33,veh_8,6.1,-1.6,1.0,90.0
34,veh_0,369.1,-1.6,13.0,90.0
34,veh_1,317.1,-1.6,13.0,90.0
34,veh_2,265.1,-1.6,13.0,90.0
34,veh_3,213.1,-1.6,13.0,90.0
34,veh_4,161.1,-1.6,13.0,90.0
34,veh_5,105.75269999999999,-1.6,11.5509,90.0
34,veh_6,60.1,-1.6,10.0,90.0
34,veh_7,26.1,-1.6,6.0,90.0
34,veh_8,8.1,-1.6,2.0,90.0
35,veh_0,382.1,-1.6,13.0,90.0
35,veh_1,330.1,-1.6,13.0,90.0
35,veh_2,278.1,-1.6,13.0,90.0
35,veh_3,226.1,-1.6,13.0,90.0
35,veh_4,174.1,-1.6,13.0,90.0
35,veh_5,117.30359999999999,-1.6,11.5509,90.0
35,veh_6,71.1,-1.6,11.0,90.0
35,veh_7,33.1,-1.6,7.0,90.0
35,veh_8,11.1,-1.6,3.0,90.0
36,veh_0,395.1,-1.6,13.0,90.0
36,veh_1,343.1,-1.6,13.0,90.0
36,veh_2,291.1,-1.6,13.0,90.0
36,veh_3,239.1,-1.6,13.0,90.0
36,veh_4,187.1,-1.6,13.0,90.0
36,veh_5,128.8545,-1.6,11.5509,90.0
36,veh_6,83.1,-1.6,12.0,90.0
36,veh_7,41.1,-1.6,8.0,90.0
36,veh_8,15.1,-1.6,4.0,90.0
36,veh_9,5.1,-1.6,0.0,90.0
37,veh_0,408.1,-1.6,13.0,90.0
37,veh_1,356.1,-1.6,13.0,90.0
37,veh_2,304.1,-1.6,13.0,90.0
37,veh_3,252.1,-1.6,13.0,90.0
37,veh_4,200.1,-1.6,13.0,90.0
37,veh_5,140.40540000000001,-1.6,11.5509,90.0
37,veh_6,96.1,-1.6,13.0,90.0
37,veh_7,50.1,-1.6,9.0,90.0
37,veh_8,20.1,-1.6,5.0,90.0
37,veh_9,6.1,-1.6,1.0,90.0
38,veh_0,421.1,-1.6,13.0,90.0
38,veh_1,369.1,-1.6,13.0,90.0
38,veh_2,317.1,-1.6,13.0,90.0
38,veh_3,265.1,-1.6,13.0,90.0
38,veh_4,213.1,-1.6,13.0,90.0
38,veh_5,151.95630000000003,-1.6,11.5509,90.0
38,veh_6,109.1,-1.6,13.0,90.0
38,veh_7,60.1,-1.6,10.0,90.0
38,veh_8,26.1,-1.6,6.0,90.0
38,veh_9,8.1,-1.6,2.0,90.0
39,veh_0,434.1,-1.6,13.0,90.0
39,veh_1,382.1,-1.6,13.0,90.0
39,veh_2,330.1,-1.6,13.0,90.0
39,veh_3,278.1,-1.6,13.0,90.0
39,veh_4,226.1,-1.6,13.0,90.0
39,veh_5,163.50720000000004,-1.6,11.5509,90.0
39,veh_6,122.1,-1.6,13.0,90.0
39,veh_7,71.1,-1.6,11.0,90.0
39,veh_8,33.1,-1.6,7.0,90.0
39,veh_9,11.1,-1.6,3.0,90.0
40,veh_0,447.1,-1.6,13.0,90.0
40,veh_1,395.1,-1.6,13.0,90.0
40,veh_10,5.1,-1.6,0.0,90.0
40,veh_2,343.1,-1.6,13.0,90.0
40,veh_3,291.1,-1.6,13.0,90.0
40,veh_4,239.1,-1.6,13.0,90.0
40,veh_5,175.05810000000005,-1.6,11.5509,90.0
40,veh_6,135.1,-1.6,13.0,90.0
40,veh_7,83.1,-1.6,12.0,90.0
40,veh_8,41.1,-1.6,8.0,90.0
40,veh_9,15.1,-1.6,4.0,90.0
41,veh_0,460.1,-1.6,13.0,90.0
41,veh_1,408.1,-1.6,13.0,90.0
41,veh_10,6.1,-1.6,1.0,90.0
41,veh_2,356.1,-1.6,13.0,90.0
41,veh_3,304.1,-1.6,13.0,90.0
41,veh_4,252.1,-1.6,13.0,90.0
41,veh_5,186.60900000000007,-1.6,11.5509,90.0
41,veh_6,148.1,-1.6,13.0,90.0
41,veh_7,95.41539999999999,-1.6,12.3154,90.0
41,veh_8,50.1,-1.6,9.0,90.0
41,veh_9,20.1,-1.6,5.0,90.0
42,veh_0,473.1,-1.6,13.0,90.0
42,veh_1,421.1,-1.6,13.0,90.0
42,veh_10,8.1,-1.6,2.0,90.0
42,veh_2,369.1,-1.6,13.0,90.0
42,veh_3,317.1,-1.6,13.0,90.0
42,veh_4,265.1,-1.6,13.0,90.0
42,veh_5,198.15990000000008,-1.6,11.5509,90.0
42,veh_6,161.1,-1.6,13.0,90.0
42,veh_7,107.73079999999999,-1.6,12.3154,90.0
42,veh_8,60.1,-1.6,10.0,90.0
42,veh_9,26.1,-1.6,6.0,90.0
43,veh_0,486.1,-1.6,13.0,90.0
43,veh_1,434.1,-1.6,13.0,90.0
43,veh_10,11.1,-1.6,3.0,90.0
43,veh_2,382.1,-1.6,13.0,90.0
43,veh_3,330.1,-1.6,13.0,90.0
43,veh_4,278.1,-1.6,13.0,90.0
43,veh_5,209.7108000000001,-1.6,11.5509,90.0
43,veh_6,174.1,-1.6,13.0,90.0
43,veh_7,120.04619999999998,-1.6,12.3154,90.0
43,veh_8,71.1,-1.6,11.0,90.0
43,veh_9,33.1,-1.6,7.0,90.0
44,veh_0,499.1,-1.6,13.0,90.0
44,veh_1,447.1,-1.6,13.0,90.0
44,veh_10,15.1,-1.6,4.0,90.0
44,veh_11,5.1,-1.6,0.0,90.0
44,veh_2,395.1,-1.6,13.0,90.0
44,veh_3,343.1,-1.6,13.0,90.0
44,veh_4,291.1,-1.6,13.0,90.0
44,veh_5,221.2617000000001,-1.6,11.5509,90.0
44,veh_6,187.1,-1.6,13.0,90.0
44,veh_7,132.36159999999998,-1.6,12.3154,90.0
44,veh_8,83.1,-1.6,12.0,90.0
44,veh_9,41.1,-1.6,8.0,90.0
45,veh_0,512.1,-1.6,13.0,90.0
45,veh_1,460.1,-1.6,13.0,90.0
45,veh_10,20.1,-1.6,5.0,90.0
45,veh_11,6.1,-1.6,1.0,90.0
45,veh_2,408.1,-1.6,13.0,90.0
45,veh_3,356.1,-1.6,13.0,90.0
45,veh_4,304.1,-1.6,13.0,90.0
45,veh_5,232.81260000000012,-1.6,11.5509,90.0
45,veh_6,200.1,-1.6,13.0,90.0
